PlanID,PlanName,Network,PackageID,PlanPrice,ActivationPrice,ExtensionPrice
1,Asia 16 Destinations 12 Days Unlimited Data(1GB/day high speed),SKYGO,D2212221204387202195,47.27,47.27,47.27
2,Asia 16 Destinations 12 Days Unlimited Data(2GB/day high speed),SKYGO,D2212221208012444949,47.27,47.27,47.27
3,Asia 16 Destinations 12 Days Unlimited Data(500MB/day high speed),SKYGO,D2212221202118022965,45.64,45.64,45.64
4,Asia 16 Destinations 15 Days Unlimited Data(1GB/day high speed),SKYGO,D2212221206199951986,44.01,44.01,44.01
5,Asia 16 Destinations 15 Days Unlimited Data(2GB/day high speed),SKYGO,D2212221208395801279,42.38,42.38,42.38
6,Asia 16 Destinations 15 Days Unlimited Data(500MB/day high speed),SKYGO,D2212221202434770811,40.75,40.75,40.75
7,Asia 16 Destinations 30 Days Unlimited Data(1GB/day high speed),SKYGO,D2212221206582387944,39.12,39.12,39.12
8,Asia 16 Destinations 30 Days Unlimited Data(2GB/day high speed),SKYGO,D2212221209088976898,37.49,37.49,37.49
9,Asia 16 Destinations 30 Days Unlimited Data(500MB/day high speed),SKYGO,D2212221203147022339,35.86,35.86,35.86
10,Asia 16 Destinations 5 Days Unlimited Data(1GB/day high speed),SKYGO,D2409301751305586374,34.23,34.23,34.23
11,Asia 16 Destinations 5 Days Unlimited Data(2GB/day high speed),SKYGO,D2409301752231044836,30.97,30.97,30.97
12,Asia 16 Destinations 5 Days Unlimited Data(500MB/day high speed),SKYGO,D2409301750189921381,29.34,29.34,29.34
13,Asia 16 Destinations 8 Days Unlimited Data(1GB/day high speed),SKYGO,D2212221203579364735,27.71,27.71,27.71
14,Asia 16 Destinations 8 Days Unlimited Data(2GB/day high speed),SKYGO,D2212221207344588124,26.08,26.08,26.08
15,Asia 16 Destinations 8 Days Unlimited Data(500MB/day high speed),SKYGO,D2212221201272604702,23.88,23.88,23.88
16,Australia 10 Days Unlimited Data (1GB/day high speed),SKYGO,D2206300948420419521,22.18,22.18,22.18
17,Australia 10 Days Unlimited Data (2GB/day high speed),SKYGO,D2206301008579086831,20.47,20.47,20.47
18,Australia 10 Days Unlimited Data (500MB/day high speed),SKYGO,D2206301004181469652,18.76,18.76,18.76
19,Australia 15 Days Unlimited Data (1GB/day high speed),SKYGO,D2206171554229517074,16.28,16.28,16.28
20,Australia 15 Days Unlimited Data (2GB/day high speed),SKYGO,D2206301009258064562,14.47,14.47,14.47
21,Australia 15 Days Unlimited Data (500MB/day high speed),SKYGO,D2206301004483242607,10.85,10.85,10.85
22,Australia 20 Days Unlimited Data (1GB/day high speed),SKYGO,D2206300949261492986,8,8,8
23,Australia 20 Days Unlimited Data (2GB/day high speed),SKYGO,D2206301009590507587,6,6,6
24,Australia 20 Days Unlimited Data (500MB/day high speed),SKYGO,D2206301005330273722,4,4,4
25,Australia 30 Days 10GB Data Package,SKYGO,D2206171556364287303,2,2,2
26,Australia 30 Days 20GB Data Package,SKYGO,D2303231439384112818,22.88,22.88,22.88
27,Australia 30 Days 30GB Data Package,SKYGO,D2303231438435820076,22.09,22.09,22.09
28,Australia 5 Days Unlimited Data (1GB/day high speed),SKYGO,D2206300948041777320,21.3,21.3,21.3
29,Australia 5 Days Unlimited Data (2GB/day high speed),SKYGO,D2206301007478243003,20.51,20.51,20.51
30,Australia 5 Days Unlimited Data (500MB/day high speed),SKYGO,D2206301002420006728,19.73,19.73,19.73
31,Australia 7 Days Unlimited Data (1GB/day high speed),SKYGO,D2206171554003619217,19.68,19.68,19.68
32,Australia 7 Days Unlimited Data (2GB/day high speed),SKYGO,D2206301008206806855,19.32,19.32,19.32
33,Australia 7 Days Unlimited Data (500MB/day high speed),SKYGO,D2206301003433620171,19.14,19.14,19.14
34,Australia/NZ 10 Days Unlimited Data(1GB/day high speed),SKYGO,D2306291708463532743,18.9,18.9,18.9
35,Australia/NZ 10 Days Unlimited Data(2GB/day high speed),SKYGO,D2306291711301626814,17.86,17.86,17.86
36,Australia/NZ 10 Days Unlimited Data(500MB/day high speed),SKYGO,D181106154347_240308,16.92,16.92,16.92
37,Australia/NZ 15 Days Unlimited Data(1GB/day high speed),SKYGO,D2306291709178718721,15.98,15.98,15.98
38,Australia/NZ 15 Days Unlimited Data(2GB/day high speed),SKYGO,D2306291712016642646,15.04,15.04,15.04
39,Australia/NZ 15 Days Unlimited Data(500MB/day high speed),SKYGO,D181105112819_233719,14,14,14
40,Australia/NZ 20 Days Unlimited Data(1GB/day high speed),SKYGO,D2306291709529214651,13,13,13
41,Australia/NZ 20 Days Unlimited Data(2GB/day high speed),SKYGO,D2306291712393769749,12.6,12.6,12.6
42,Australia/NZ 20 Days Unlimited Data(500MB/day high speed),SKYGO,D190111113757_741767,12.52,12.52,12.52
43,Australia/NZ 5 Days Unlimited Data(1GB/day high speed),SKYGO,D2306291707237288119,10.8,10.8,10.8
44,Australia/NZ 5 Days Unlimited Data(2GB/day high speed),SKYGO,D2306291710419393626,9.6,9.6,9.6
45,Australia/NZ 5 Days Unlimited Data(500MB/day high speed),SKYGO,D190111113606_741755,7.92,7.92,7.92
46,Australia/NZ 7 Days Unlimited Data(1GB/day high speed),SKYGO,D2306291707500194817,10.32,10.32,10.32
47,Australia/NZ 7 Days Unlimited Data(2GB/day high speed),SKYGO,D2306291711023666152,10.32,10.32,10.32
48,Australia/NZ 7 Days Unlimited Data(500MB/day high speed),SKYGO,D181106154224_240303,10.32,10.32,10.32
49,Cambodia 10 Days Unlimited Data(1GB/day high speed),SKYGO,D2206171549015734421,10.32,10.32,10.32
50,Cambodia 10 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291848095439487,14.5,14.5,14.5
51,Cambodia 10 Days Unlimited Data(500MB/day high speed),SKYGO,D190826052506_19328,14,14,14
52,Cambodia 3 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291843148274907,13.5,13.5,13.5
53,Cambodia 3 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291845367673023,13,13,13
54,Cambodia 3 Days Unlimited Data(500MB/day high speed),SKYGO,D190826051824_19275,12.5,12.5,12.5
55,Cambodia 4 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291843358347823,12,12,12
56,Cambodia 4 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291846047693227,11.5,11.5,11.5
57,Cambodia 4 Days Unlimited Data(500MB/day high speed),SKYGO,D190826051958_19289,11,11,11
58,Cambodia 5 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291843577101488,10.5,10.5,10.5
59,Cambodia 5 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291846319292001,6.88,6.88,6.88
60,Cambodia 5 Days Unlimited Data(500MB/day high speed),SKYGO,D190826052131_19300,6.88,6.88,6.88
61,Cambodia 6 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291844195202438,6.88,6.88,6.88
62,Cambodia 6 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291847163796790,6.88,6.88,6.88
63,Cambodia 6 Days Unlimited Data(500MB/day high speed),SKYGO,D190826052239_19310,6.88,6.88,6.88
64,Cambodia 7 Days Unlimited Data(1GB/day high speed),SKYGO,D2206171547538145379,6.88,6.88,6.88
65,Cambodia 7 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291847405411679,6.88,6.88,6.88
66,Cambodia 7 Days Unlimited Data(500MB/day high speed),SKYGO,D190826052344_19317,6.88,6.88,6.88
67,Central Asia 4 Destinations 10 Days Unlimited Data(1GB/day high speed),SKYGO,D2404031158100393444,6.88,6.88,6.88
68,Central Asia 4 Destinations 10 Days Unlimited Data(2GB/day high speed),SKYGO,D2404031201006860293,6.88,6.88,6.88
69,Central Asia 4 Destinations 10 Days Unlimited Data(500MB/day high speed),SKYGO,D2404031151112120473,6.88,6.88,6.88
70,Central Asia 4 Destinations 15 Days Unlimited Data(1GB/day high speed),SKYGO,D2404031158311479071,6.88,6.88,6.88
71,Central Asia 4 Destinations 15 Days Unlimited Data(2GB/day high speed),SKYGO,D2404031202204503421,6.88,6.88,6.88
72,Central Asia 4 Destinations 15 Days Unlimited Data(500MB/day high speed),SKYGO,D2404031151365660735,6.88,6.88,6.88
73,Central Asia 4 Destinations 20 Days Unlimited Data(1GB/day high speed),SKYGO,D2404031158445339978,6.88,6.88,6.88
74,Central Asia 4 Destinations 20 Days Unlimited Data(2GB/day high speed),SKYGO,D2404031202354451496,24.51,24.51,24.51
75,Central Asia 4 Destinations 20 Days Unlimited Data(500MB/day high speed),SKYGO,D2404031151552411087,23.66,23.66,23.66
76,Central Asia 4 Destinations 30 Days Unlimited Data(1GB/day high speed),SKYGO,D2404031158590287907,22.82,22.82,22.82
