PlanID,PlanName,Network,PackageID,PlanPrice,ActivationPrice,ExtensionPrice
77,Central Asia 4 Destinations 30 Days Unlimited Data(2GB/day high speed),SKYGO,D2404031202508583249,21.97,21.97,21.97
78,Central Asia 4 Destinations 30 Days Unlimited Data(500MB/day high speed),SKYGO,D2404031152156114690,21.13,21.13,21.13
79,Central Asia 4 Destinations 5 Days Unlimited Data(1GB/day high speed),SKYGO,D2404031157411194642,20.9,20.9,20.9
80,Central Asia 4 Destinations 5 Days Unlimited Data(2GB/day high speed),SKYGO,D2404031200224836829,20.03,20.03,20.03
81,Central Asia 4 Destinations 5 Days Unlimited Data(500MB/day high speed),SKYGO,D2404031148444571382,23.22,23.22,23.22
82,Central Asia 4 Destinations 7 Days Unlimited Data(1GB/day high speed),SKYGO,D2404031157565132097,23.22,23.22,23.22
83,Central Asia 4 Destinations 7 Days Unlimited Data(2GB/day high speed),SKYGO,D2404031200401600882,23.22,23.22,23.22
84,Central Asia 4 Destinations 7 Days Unlimited Data(500MB/day high speed),SKYGO,D2404031150487615832,23.22,23.22,23.22
85,Egypt/Morocco 30 Days 10GB Data Package,SKYGO,D2309211851210852354,23.22,23.22,23.22
86,Europe 1 Day Unlimited Data(1GB/day high speed),SKYGO,D2507041909296298123,23.22,23.22,23.22
87,Europe 1 Day Unlimited Data(2GB/day high speed),SKYGO,D2507042209197232287,23.22,23.22,23.22
88,Europe 1 Day Unlimited Data(3GB/day high speed),SKYGO,D2507042319217529550,23.22,23.22,23.22
89,Europe 10 Days 5GB Data Package,SKYGO,D200225042426_728020,23.22,23.22,23.22
90,Europe 10 Days Unlimited Data(1GB/day high speed),SKYGO,D2206091135414428250,23.22,23.22,23.22
91,Europe 10 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291857110154857,23.22,23.22,23.22
92,Europe 10 Days Unlimited Data(3GB/day high speed),SKYGO,D2503311652466435558,23.22,23.22,23.22
93,Europe 11 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041911181435049,23.22,23.22,23.22
94,Europe 11 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042219036899006,23.22,23.22,23.22
95,Europe 11 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042321554567982,23.22,23.22,23.22
96,Europe 12 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041911317122916,23.22,23.22,23.22
97,Europe 12 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042219201237233,23.22,23.22,23.22
98,Europe 12 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042322459672163,18.85,18.85,18.85
99,Europe 13 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041932565438699,18.2,18.2,18.2
100,Europe 13 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042219365923875,17.55,17.55,17.55
101,Europe 13 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042323003819898,16.9,16.9,16.9
102,Europe 14 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041933110916354,16.25,16.25,16.25
103,Europe 14 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042219539862074,16.08,16.08,16.08
104,Europe 14 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042323200014760,15.41,15.41,15.41
105,Europe 15 Days 6GB Data Package,SKYGO,D200225043210_728079,14.74,14.74,14.74
106,Europe 15 Days Unlimited Data(1GB/day high speed),SKYGO,D2206091136019095391,14.07,14.07,14.07
107,Europe 15 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291857403368188,13.3,13.3,13.3
108,Europe 15 Days Unlimited Data(3GB/day high speed),SKYGO,D2503311653012190781,12.6,12.6,12.6
109,Europe 16 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041933255214539,11.9,11.9,11.9
110,Europe 16 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042220220578963,11.52,11.52,11.52
111,Europe 16 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042323497011576,10.5,10.5,10.5
112,Europe 17 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041933408735048,9.75,9.75,9.75
113,Europe 17 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042220372486412,8.25,8.25,8.25
114,Europe 17 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042324052118997,6.75,6.75,6.75
115,Europe 18 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041933544017972,6,6,6
116,Europe 18 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042220548518621,4.5,4.5,4.5
117,Europe 18 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042324210147694,4,4,4
118,Europe 19 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041934079857595,3.4,3.4,3.4
119,Europe 19 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042221107434296,2.7,2.7,2.7
120,Europe 19 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042324409889411,1.9,1.9,1.9
121,Europe 2 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041909449560584,1.15,1.15,1.15
122,Europe 2 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042209418882806,12.57,12.57,12.57
123,Europe 2 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042319506282734,12.13,12.13,12.13
124,Europe 20 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291851030076782,11.7,11.7,11.7
125,Europe 20 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291858199844782,11.27,11.27,11.27
126,Europe 20 Days Unlimited Data(3GB/day high speed),SKYGO,D2503311653156847661,10.83,10.83,10.83
127,Europe 21 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041934332087829,10.72,10.72,10.72
128,Europe 21 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042221310971683,10.27,10.27,10.27
129,Europe 21 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042325022377576,9.83,9.83,9.83
130,Europe 22 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041934479965950,9.38,9.38,9.38
131,Europe 22 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042221464331403,8.87,8.87,8.87
132,Europe 22 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042325187690840,8.4,8.4,8.4
133,Europe 23 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041935018229802,7.93,7.93,7.93
134,Europe 23 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042222015192722,7.68,7.68,7.68
135,Europe 23 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042325378462476,7,7,7
136,Europe 24 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041935154821164,6.5,6.5,6.5
137,Europe 24 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042222176555100,5.5,5.5,5.5
138,Europe 24 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042325535012847,4.5,4.5,4.5
139,Europe 25 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041935279373893,4,4,4
140,Europe 25 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042222362659883,3,3,3
141,Europe 25 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042326138143154,2.67,2.67,2.67
142,Europe 26 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041935423280464,2.27,2.27,2.27
143,Europe 26 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042222520767560,1.8,1.8,1.8
144,Europe 26 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042326313961233,1.27,1.27,1.27
145,Europe 27 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041935546900357,10.32,10.32,10.32
146,Europe 27 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042223071118088,78.98,78.98,78.98
147,Europe 27 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042326493988708,57.32,57.32,57.32
148,Europe 28 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041936086465123,45.86,45.86,45.86
149,Europe 28 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042223248417364,37.76,37.76,37.76
150,Europe 28 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042327038218982,31.8,31.8,31.8
151,Europe 29 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041936217516783,16.89,16.89,16.89
152,Europe 29 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042313208138195,8.13,8.13,8.13
153,Europe 29 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042327210353019,5.54,5.54,5.54
154,Europe 3 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041909579569506,1.91,1.91,1.91
155,Europe 3 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042210054827298,53.11,53.11,53.11
156,Europe 3 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042320161564961,35.44,35.44,35.44
157,Europe 30 Days 10GB Data Package,SKYGO,D2206171718138615640,26.59,26.59,26.59
158,Europe 30 Days 20GB Data Package,SKYGO,D2303231443529390725,24.75,24.75,24.75
159,Europe 30 Days 30GB Data Package,SKYGO,D2303231443015979167,20.65,20.65,20.65
160,Europe 30 Days Unlimited Data(1GB/day high speed),SKYGO,D2206091136223123003,14.47,14.47,14.47
161,Europe 30 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291858438338083,35.4,35.4,35.4
162,Europe 30 Days Unlimited Data(3GB/day high speed),SKYGO,D2503311653286618813,23.61,23.61,23.61
163,Europe 4 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041910103029033,17.72,17.72,17.72
164,Europe 4 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042217233203456,16.5,16.5,16.5
165,Europe 4 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042320354821228,13.77,13.77,13.77
166,Europe 5 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291850234693769,9.66,9.66,9.66
167,Europe 5 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291855407008527,22.15,22.15,22.15
168,Europe 5 Days Unlimited Data(3GB/day high speed),SKYGO,D2503311649018381253,14.76,14.76,14.76
169,Europe 6 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041910240103372,11.08,11.08,11.08
170,Europe 6 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042217498323707,11.82,11.82,11.82
171,Europe 6 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042320577114700,9.85,9.85,9.85
172,Europe 7 Days Unlimited Data(1GB/day high speed),SKYGO,D2206091135171925874,6.89,6.89,6.89
173,Europe 7 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291856141314480,32.92,32.92,32.92
174,Europe 7 Days Unlimited Data(3GB/day high speed),SKYGO,D2503311649304696160,21.91,21.91,21.91
175,Europe 7 Destinations 10 Days Unlimited Data Package(2GB/day high speed),SKYGO,D2405231859504096145,16.51,16.51,16.51
176,Europe 7 Destinations 15 Days Unlimited Data Package(2GB/day high speed),SKYGO,D2405231900294542085,13.25,13.25,13.25
177,Europe 7 Destinations 30 Days 10GB Package,SKYGO,D2405231902389050719,11.01,11.01,11.01
178,Europe 7 Destinations 30 Days 20GB Package,SKYGO,D2405231904025791987,8.19,8.19,8.19
179,Europe 8 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041910385992302,7.64,7.64,7.64
180,Europe 8 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042218241001529,6.47,6.47,6.47
181,Europe 8 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042321173176200,5.63,5.63,5.63
182,Europe 9 Days Unlimited Data(1GB/day high speed),SKYGO,D2507041911030990400,4.31,4.31,4.31
183,Europe 9 Days Unlimited Data(2GB/day high speed),SKYGO,D2507042218424057906,3.06,3.06,3.06
184,Europe 9 Days Unlimited Data(3GB/day high speed),SKYGO,D2507042321341955135,1.73,1.73,1.73
185,Greater China 1 Day Unlimited Data(1GB/day high speed),SKYGO,D2206291650243023872,48.92,48.92,48.92
186,Greater China 1 Day Unlimited Data(2GB/day high speed),SKYGO,D2206291655580248209,32.61,32.61,32.61
187,Greater China 1 Day Unlimited Data(500MB/day high speed),SKYGO,D181018012610_199268,24.46,24.46,24.46
188,Greater China 10 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291653453445759,17.06,17.06,17.06
189,Greater China 10 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291704050626279,12.66,12.66,12.66
190,Greater China 10 Days Unlimited Data(500MB/day high speed),SKYGO,D181010061822_148823,9.91,9.91,9.91
191,Greater China 2 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291651346648003,8.19,8.19,8.19
192,Greater China 2 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291656388799714,5.46,5.46,5.46
193,Greater China 2 Days Unlimited Data(500MB/day high speed),SKYGO,D181023062822_204433,3.63,3.63,3.63
194,Greater China 3 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291652011528009,30.22,30.22,30.22
195,Greater China 3 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291657123412192,17.27,17.27,17.27
196,Greater China 3 Days Unlimited Data(500MB/day high speed),SKYGO,D181010061617_148815,13.41,13.41,13.41
197,Greater China 5 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291652325482324,96.84,96.84,96.84
198,Greater China 5 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291700149542769,64.56,64.56,64.56
199,Greater China 5 Days Unlimited Data(500MB/day high speed),SKYGO,D181023063159_204448,48.42,48.42,48.42
200,Greater China 7 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291653083857606,32.28,32.28,32.28
201,Greater China 7 Days Unlimited Data(2GB/day high speed),SKYGO,D2206291703273004679,26.36,26.36,26.36
202,Greater China 7 Days Unlimited Data(500MB/day high speed),SKYGO,D181023063337_204455,18.83,18.83,18.83
203,Gulf Arab States Four Destinations 10 Days Unlimited Data(1GB/day high speed),SKYGO,D2303231048454139668,48.42,48.42,48.42
204,Gulf Arab States Four Destinations 10 Days Unlimited Data(2GB/day high speed),SKYGO,D2303231053009291381,32.28,32.28,32.28
205,Gulf Arab States Four Destinations 10 Days Unlimited Data(500MB/day high speed),SKYGO,D2303221854115979861,24.22,24.22,24.22
206,Gulf Arab States Four Destinations 15 Days 5GB Data Package,SKYGO,D2303231104045872932,18.96,18.96,18.96
207,Gulf Arab States Four Destinations 15 Days Unlimited Data(1GB/day high speed),SKYGO,D2303231049197081124,15.07,15.07,15.07
208,Gulf Arab States Four Destinations 15 Days Unlimited Data(2GB/day high speed),SKYGO,D2303231053523546142,10.76,10.76,10.76
209,Gulf Arab States Four Destinations 15 Days Unlimited Data(500MB/day high speed),SKYGO,D2303221854380225627,28.24,28.24,28.24
210,Gulf Arab States Four Destinations 20 Days 10GB Data Package,SKYGO,D2303231105329770262,18.83,18.83,18.83
211,Gulf Arab States Four Destinations 20 Days Unlimited Data(1GB/day high speed),SKYGO,D2303231050081519733,16.31,16.31,16.31
212,Gulf Arab States Four Destinations 20 Days Unlimited Data(2GB/day high speed),SKYGO,D2303231055464741456,12.94,12.94,12.94
213,Gulf Arab States Four Destinations 20 Days Unlimited Data(500MB/day high speed),SKYGO,D2303221855026096078,9.17,9.17,9.17
214,Gulf Arab States Four Destinations 30 Days 20GB Data Package,SKYGO,D2404031224365551659,7.03,7.03,7.03
215,Gulf Arab States Four Destinations 30 Days Unlimited Data(1GB/day high speed),SKYGO,D2303231051146271866,20.99,20.99,20.99
216,Gulf Arab States Four Destinations 30 Days Unlimited Data(2GB/day high speed),SKYGO,D2303231056173223953,12.84,12.84,12.84
217,Gulf Arab States Four Destinations 30 Days Unlimited Data(500MB/day high speed),SKYGO,D2303221855553425426,10.8,10.8,10.8
218,Gulf Arab States Four Destinations 5 Days Unlimited Data(1GB/day high speed),SKYGO,D2303231047445280257,7.54,7.54,7.54
219,Gulf Arab States Four Destinations 5 Days Unlimited Data(2GB/day high speed),SKYGO,D2303231051595338328,5.4,5.4,5.4
220,Gulf Arab States Four Destinations 5 Days Unlimited Data(500MB/day high speed),SKYGO,D2303221852377385023,4.79,4.79,4.79
221,Gulf Arab States Four Destinations 7 Days Unlimited Data(1GB/day high speed),SKYGO,D2303231048161376838,4.08,4.08,4.08
222,Gulf Arab States Four Destinations 7 Days Unlimited Data(2GB/day high speed),SKYGO,D2303231052345742924,3.46,3.46,3.46
223,Gulf Arab States Four Destinations 7 Days Unlimited Data(500MB/day high speed),SKYGO,D2303221853473761754,2.75,2.75,2.75
224,HK/Macao 1 Day Unlimited Data (2GB/day high speed),SKYGO,D190301103115_350087,2.45,2.45,2.45
225,HK/Macao 1 Day Unlimited Data(1GB/day high speed),SKYGO,D2206291552128561914,9.99,9.99,9.99
226,HK/Macao 2 Days Unlimited Data (2GB/day high speed),SKYGO,D190301103318_350104,6.93,6.93,6.93
227,HK/Macao 2 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291553303455145,4.89,4.89,4.89
228,HK/Macao 3 Days Unlimited Data (2GB/day high speed),SKYGO,D181016032720_163614,12.15,12.15,12.15
229,HK/Macao 3 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291553546520141,6.82,6.82,6.82
230,HK/Macao 4 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291554197513780,14.71,14.71,14.71
231,HK/Macao 4 Days Unlimited Data(2GB/day high speed),SKYGO,D181016032824_163620,9.8,9.8,9.8
232,HK/Macao 5 Days Unlimited Data (2GB/day high speed),SKYGO,D181016032919_163626,7.57,7.57,7.57
233,HK/Macao 5 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291555015803170,5.05,5.05,5.05
234,HK/Macao 7 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291555239983175,3.84,3.84,3.84
235,HK/Macao 7 Days Unlimited Data(2GB/day high speed),SKYGO,D181016033010_163631,3.44,3.44,3.44
236,Hong Kong 1 Day Unlimited Data(1GB/day high speed),SKYGO,D2206291453135782763,3.03,3.03,3.03
237,Hong Kong 1 Day Unlimited Data(2GB/day high speed),SKYGO,D180926034548_97219,2.64,2.64,2.64
238,Hong Kong 1 Day Unlimited Data(5GB/day high speed),SKYGO,D2306291714221071843,2.02,2.02,2.02
239,Hong Kong 2 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291453435031295,1.84,1.84,1.84
240,Hong Kong 2 Days Unlimited Data(2GB/day high speed),SKYGO,D180926034632_97224,9.8,9.8,9.8
241,Hong Kong 2 Days Unlimited Data(5GB/day high speed),SKYGO,D2306291714496918861,6.53,6.53,6.53
242,Hong Kong 3 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291454158131520,5.05,5.05,5.05
243,Hong Kong 3 Days Unlimited Data(2GB/day high speed),SKYGO,D180926034716_97230,3.37,3.37,3.37
244,Hong Kong 3 Days Unlimited Data(5GB/day high speed),SKYGO,D2306291715108702135,2.56,2.56,2.56
245,Hong Kong 4 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291454474855589,2.29,2.29,2.29
246,Hong Kong 4 Days Unlimited Data(2GB/day high speed),SKYGO,D180926034800_97234,2.02,2.02,2.02
247,Hong Kong 4 Days Unlimited Data(5GB/day high speed),SKYGO,D2306291715434800719,1.76,1.76,1.76
248,Hong Kong 5 Days Unlimited Data(1GB/day high speed),SKYGO,D2206291455182268209,1.35,1.35,1.35
